,host_since,host_local,host_response_rate_pct,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,emenities_num,price,security_deposit,cleaning_fee,guests_included,extra_people,min_nights,number_of_reviews,instant_bookable,require_guest_profile_picture,host_listing_count,listing_duration,review_per_month,review_score,host_response_time_few_days,host_response_time_few_hours,host_response_time_hour,neighbourhood_Bernal Heights,neighbourhood_Castro/Upper Market,neighbourhood_Chinatown,neighbourhood_Crocker Amazon,neighbourhood_Diamond Heights,neighbourhood_Downtown/Civic Center,neighbourhood_Excelsior,neighbourhood_Financial District,neighbourhood_Glen Park,neighbourhood_Golden Gate Park,neighbourhood_Haight Ashbury,neighbourhood_Inner Richmond,neighbourhood_Inner Sunset,neighbourhood_Lakeshore,neighbourhood_Marina,neighbourhood_Mission,neighbourhood_Nob Hill,neighbourhood_Noe Valley,neighbourhood_North Beach,neighbourhood_Ocean View,neighbourhood_Outer Mission,neighbourhood_Outer Richmond,neighbourhood_Outer Sunset,neighbourhood_Pacific Heights,neighbourhood_Parkside,neighbourhood_Potrero Hill,neighbourhood_Presidio,neighbourhood_Presidio Heights,neighbourhood_Russian Hill,neighbourhood_Seacliff,neighbourhood_South of Market,neighbourhood_Treasure Island/YBI,neighbourhood_Twin Peaks,neighbourhood_Visitacion Valley,neighbourhood_West of Twin Peaks,neighbourhood_Western Addition,property_type_Hotel,property_type_House,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,rent_term_short_term
961,2014,1,1.0,1,1,1,2,1.0,1.0,25,185.0,200.0,60.0,2,30.0,4,223,0,0,1,2004,3.4,9.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
962,2014,1,0.0,0,1,1,3,1.0,1.0,57,225.0,200.0,150.0,2,75.0,5,49,0,0,2,1957,0.8,9.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
963,2014,1,1.0,0,1,1,2,2.0,1.0,26,109.0,0.0,15.0,1,0.0,2,279,1,0,1,1988,4.3,9.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
964,2014,1,0.0,0,1,1,3,1.0,2.0,36,229.0,1800.0,395.0,2,15.0,30,38,0,0,1,1970,0.6,9.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
965,2013,1,1.0,1,1,1,2,1.0,1.0,26,230.0,2500.0,125.0,2,0.0,30,16,0,0,3,1757,0.3,9.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
966,2013,1,0.6,0,1,1,7,2.0,3.0,17,350.0,500.0,150.0,1,0.0,3,11,0,0,1,1903,0.2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
967,2014,1,1.0,1,1,1,2,2.0,1.0,37,195.0,500.0,125.0,2,75.0,30,36,0,0,1,1372,0.8,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
968,2014,1,1.0,0,1,1,6,2.0,3.0,26,275.0,5000.0,300.0,1,0.0,31,0,0,0,1,0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
969,2010,1,1.0,0,1,1,1,1.0,1.0,36,169.0,400.0,95.0,1,0.0,30,87,0,0,1,1872,1.4,9.83,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
970,2011,1,1.0,0,1,1,4,1.0,2.0,19,275.0,0.0,110.0,1,0.0,1,33,1,0,1,1962,0.5,9.83,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
